sp,status,date2,iv,mean,sd,se
Pinus pinaster,Decaimiento,2017-06-01,evi,0.2325937815905235,0.02732239395469421,0.0037181068744613654
Pinus pinaster,Decaimiento,2017-06-01,nbr,0.06221849116949648,0.07028003973200542,0.009563902024774527
Pinus pinaster,Decaimiento,2017-06-01,ndvi,0.4502360158802456,0.09068275830585701,0.012340360350971266
Pinus pinaster,Decaimiento,2017-07-01,evi,0.24207162050726222,0.033954994403111505,0.0032673208598281104
Pinus pinaster,Decaimiento,2017-07-01,nbr,0.06218577826501883,0.08496250200917053,0.008175520567669788
Pinus pinaster,Decaimiento,2017-07-01,ndvi,0.4850307246275971,0.09536578058545528,0.009176576515415232
Pinus pinaster,Decaimiento,2017-08-01,evi,0.18168413931298447,0.08451257956475292,0.00939028661830588
Pinus pinaster,Decaimiento,2017-08-01,nbr,0.07137284085731582,0.1435017020017635,0.0159446335557515
Pinus pinaster,Decaimiento,2017-08-01,ndvi,0.4729846065458231,0.12898479404183313,0.014331643782425903
Pinus pinaster,Decaimiento,2017-09-01,evi,0.27263304300673075,0.04143224658292175,0.004603582953657972
Pinus pinaster,Decaimiento,2017-09-01,nbr,0.12562906419452666,0.09723241884831477,0.010803602094257196
Pinus pinaster,Decaimiento,2017-09-01,ndvi,0.5336439692862719,0.09292996942742693,0.010325552158602992
Pinus pinaster,Decaimiento,2017-10-01,evi,0.26798883321139944,0.049116644692743364,0.004227287709257377
Pinus pinaster,Decaimiento,2017-10-01,nbr,0.18033584097609684,0.11629459945560504,0.01000904548767601
Pinus pinaster,Decaimiento,2017-10-01,ndvi,0.5664288928745799,0.10941844221026306,0.009417240098851278
Pinus pinaster,Decaimiento,2017-11-01,evi,0.28633960896731997,0.06784925967516457,0.007538806630573842
Pinus pinaster,Decaimiento,2017-11-01,nbr,0.2490485303155974,0.1434396605131354,0.015937740057015044
Pinus pinaster,Decaimiento,2017-11-01,ndvi,0.5922226010595815,0.12152340385909663,0.013502600428788515
Pinus pinaster,Decaimiento,2017-12-01,evi,0.30791271039787216,0.06175953707452959,0.006862170786058843
Pinus pinaster,Decaimiento,2017-12-01,nbr,0.2905251905579861,0.14295656238126278,0.015884062486806974
Pinus pinaster,Decaimiento,2017-12-01,ndvi,0.657232946044409,0.10700653900613746,0.011889615445126385
