sp,status,year,mean,sd,se,iv
Pinus pinaster,Decaimiento,1985,0.394832547484514,0.06122454946058776,0.006802727717843084,ndvi
Pinus pinaster,Decaimiento,1986,0.42495238410747516,0.08207752744099601,0.00911972527122178,ndvi
Pinus pinaster,Decaimiento,1987,0.3866225792570419,0.08020537681566733,0.004653987997038281,ndvi
Pinus pinaster,Decaimiento,1988,0.4352743079174467,0.07692698263369846,0.003789920413490961,ndvi
Pinus pinaster,Decaimiento,1989,0.42630990757901116,0.05994140385257134,0.0036479176687311547,ndvi
Pinus pinaster,Decaimiento,1990,0.4250537059783953,0.07098146006486963,0.0032197844140124435,ndvi
Pinus pinaster,Decaimiento,1991,0.41144090266301,0.09159182222325708,0.0055741007905200975,ndvi
Pinus pinaster,Decaimiento,1992,0.4008091687254184,0.0593657526883023,0.004030009886809448,ndvi
Pinus pinaster,Decaimiento,1993,0.41761186658902,0.07343525029363511,0.004996635898693738,ndvi
Pinus pinaster,Decaimiento,1994,0.4555379578823439,0.07970059998281576,0.004850424050809338,ndvi
Pinus pinaster,Decaimiento,1995,0.4238386840491539,0.07205036603426421,0.0040027981130146785,ndvi
Pinus pinaster,Decaimiento,1996,0.4409247391291934,0.06838998943937964,0.00326780009767315,ndvi
Pinus pinaster,Decaimiento,1997,0.43860005153745046,0.051828480876655154,0.002493598948818852,ndvi
Pinus pinaster,Decaimiento,1998,0.48384078439461714,0.09285274849071025,0.0038994489056388463,ndvi
Pinus pinaster,Decaimiento,1999,0.4742206225551609,0.08416188848349906,0.0034244986758128447,ndvi
Pinus pinaster,Decaimiento,2000,0.438760274261808,0.08053418362281224,0.0025911448846890335,ndvi
Pinus pinaster,Decaimiento,2001,0.45736835256086034,0.08151196087335189,0.0029606477410740227,ndvi
Pinus pinaster,Decaimiento,2002,0.4184265065306581,0.09726076764986709,0.0038207637971461226,ndvi
Pinus pinaster,Decaimiento,2003,0.38698848755545334,0.1003600209113488,0.004920554855880264,ndvi
Pinus pinaster,Decaimiento,2004,0.44004124552587953,0.10604576899633854,0.004728347136599055,ndvi
Pinus pinaster,Decaimiento,2005,0.4157968055947988,0.10304200033782877,0.004413834346650512,ndvi
Pinus pinaster,Decaimiento,2006,0.42556032333458116,0.10054476774124517,0.004598810633974481,ndvi
Pinus pinaster,Decaimiento,2007,0.44232621303761344,0.08098201424781719,0.0036288908302536367,ndvi
Pinus pinaster,Decaimiento,2008,0.4540268067906799,0.08347190541597838,0.0042707942153392235,ndvi
Pinus pinaster,Decaimiento,2009,0.42666744657301264,0.08970422078104263,0.003140275845323638,ndvi
Pinus pinaster,Decaimiento,2010,0.46815023300713016,0.07613571538662861,0.002934816152771781,ndvi
Pinus pinaster,Decaimiento,2011,0.48985266341768574,0.09532294324171367,0.003545098404091613,ndvi
Pinus pinaster,Decaimiento,2012,0.45479150136625324,0.09932547597100992,0.005883533422431542,ndvi
Pinus pinaster,Decaimiento,2013,0.4975104646777131,0.09648688058761917,0.003474890125170824,ndvi
Pinus pinaster,Decaimiento,2014,0.45592971368951224,0.0997806179468889,0.0036005229144714696,ndvi
Pinus pinaster,Decaimiento,2015,0.4904854904098932,0.11360010947056563,0.003896451609247225,ndvi
Pinus pinaster,Decaimiento,2016,0.47414587607403597,0.09471144806519152,0.0034332873101085293,ndvi
Pinus pinaster,Decaimiento,2017,0.4896581532511759,0.09518419636605545,0.00272623315232994,ndvi
Pinus pinaster,Decaimiento,2018,0.49620492011442735,0.0933962218833633,0.003616316153472856,ndvi
Pinus pinaster,Decaimiento,2019,0.5081918924335647,0.10649566990045962,0.0037746389403603892,ndvi
Pinus pinaster,Decaimiento,2020,0.5167264093589081,0.08146402211609753,0.0029038787755763375,ndvi
Pinus pinaster,Decaimiento,2021,0.5311779455799203,0.10889160136070784,0.004475417247439759,ndvi
Pinus pinaster,Decaimiento,2022,0.5274614977978197,0.11026913110000452,0.003915771658839928,ndvi
Pinus pinaster,Decaimiento,2023,0.5400999360662605,0.09608273005536104,0.003130544510625222,ndvi
Pinus pinaster,Sanos,1985,0.4535225420940528,0.06604011644093521,0.017051484743822714,ndvi
Pinus pinaster,Sanos,1986,0.4683574686487971,0.07111274263322516,0.018361231194774348,ndvi
Pinus pinaster,Sanos,1987,0.43955822067955563,0.09409316299967227,0.012687519510622093,ndvi
Pinus pinaster,Sanos,1988,0.4874965637552341,0.07074101484994756,0.008168468793272907,ndvi
Pinus pinaster,Sanos,1989,0.4687281490890889,0.05185296864203146,0.00733311715028677,ndvi
Pinus pinaster,Sanos,1990,0.47100317371004646,0.07278439992522613,0.007672149396410121,ndvi
Pinus pinaster,Sanos,1991,0.45550165916094476,0.09373284957836148,0.013255826711359603,ndvi
Pinus pinaster,Sanos,1992,0.42875445326802564,0.07040584830859616,0.011132142062573864,ndvi
Pinus pinaster,Sanos,1993,0.4472501442655584,0.07703238153888003,0.01217988896249837,ndvi
Pinus pinaster,Sanos,1994,0.5041027434112944,0.07858139154932625,0.01111308696792077,ndvi
Pinus pinaster,Sanos,1995,0.45307440037428853,0.08539953792237077,0.011025032938238357,ndvi
Pinus pinaster,Sanos,1996,0.4970503860554789,0.07090119211471435,0.007926994262713668,ndvi
Pinus pinaster,Sanos,1997,0.48272540916440104,0.05576215314450156,0.006234398250142956,ndvi
Pinus pinaster,Sanos,1998,0.530573504216398,0.09297516783219824,0.009073447306984438,ndvi
Pinus pinaster,Sanos,1999,0.5270167441525565,0.09104899419778177,0.008681180975602392,ndvi
Pinus pinaster,Sanos,2000,0.4917641814233501,0.09142570865463354,0.0068144699814283805,ndvi
Pinus pinaster,Sanos,2001,0.49568545152535115,0.07973549759298769,0.00669125431745458,ndvi
Pinus pinaster,Sanos,2002,0.43876875832412765,0.09458827869843986,0.008634688986453485,ndvi
Pinus pinaster,Sanos,2003,0.40658173036194767,0.1089369696197856,0.012495927415479103,ndvi
Pinus pinaster,Sanos,2004,0.47484888499422667,0.10751152854939741,0.011030450089126675,ndvi
Pinus pinaster,Sanos,2005,0.4403350681870063,0.1119755914547523,0.011087235675228289,ndvi
Pinus pinaster,Sanos,2006,0.45454615542007903,0.10850765974844999,0.011017283621321226,ndvi
Pinus pinaster,Sanos,2007,0.46875798670076313,0.07841785723884513,0.00804550239439592,ndvi
Pinus pinaster,Sanos,2008,0.4805665366179068,0.08119021500262327,0.00977415329530782,ndvi
Pinus pinaster,Sanos,2009,0.4536656711661237,0.08810688659106725,0.007099855250386184,ndvi
Pinus pinaster,Sanos,2010,0.5055420433896767,0.06937279770812055,0.006255134516533874,ndvi
Pinus pinaster,Sanos,2011,0.5232617091954291,0.0881626264212871,0.007587830753056688,ndvi
Pinus pinaster,Sanos,2012,0.49062645835161883,0.10422744154646918,0.013927977734531987,ndvi
Pinus pinaster,Sanos,2013,0.5402229547440162,0.09173380226384736,0.00778075955576468,ndvi
Pinus pinaster,Sanos,2014,0.5081920884383343,0.09112900710034896,0.007647376395869947,ndvi
Pinus pinaster,Sanos,2015,0.5528803588980363,0.10010164677900327,0.00801454594578537,ndvi
Pinus pinaster,Sanos,2016,0.5199246440909635,0.0902627523718926,0.007683675744083331,ndvi
Pinus pinaster,Sanos,2017,0.5253132677382099,0.08450996089682525,0.0056976604013413545,ndvi
Pinus pinaster,Sanos,2018,0.5338595759664096,0.07644085749032331,0.006949168862756664,ndvi
Pinus pinaster,Sanos,2019,0.5365234933086287,0.09596782377698991,0.00783573999929868,ndvi
Pinus pinaster,Sanos,2020,0.5569249868333701,0.07448944782173633,0.006340962893086609,ndvi
Pinus pinaster,Sanos,2021,0.5735617699182909,0.1010626509979602,0.009635945689653877,ndvi
Pinus pinaster,Sanos,2022,0.5688646935038058,0.09879872416900465,0.00835001620931834,ndvi
Pinus pinaster,Sanos,2023,0.5852317828513278,0.08565046253919059,0.006511884081878492,ndvi
Pinus sylvestris,Decaimiento,1985,0.5611178036843162,0.04866547037061022,0.010881929990568633,ndvi
Pinus sylvestris,Decaimiento,1986,0.5381805341390955,0.09531847287124705,0.030142347736211023,ndvi
Pinus sylvestris,Decaimiento,1987,0.5159688164030617,0.128714261246175,0.010917401148094134,ndvi
Pinus sylvestris,Decaimiento,1988,0.574651394357434,0.0612417486287377,0.006455447118610157,ndvi
Pinus sylvestris,Decaimiento,1989,0.559628548814362,0.06145671738341573,0.006871069887165529,ndvi
Pinus sylvestris,Decaimiento,1990,0.5183866253633101,0.085771001512537845,0.0085771001512537845,ndvi
Pinus sylvestris,Decaimiento,1991,0.5501346106120915,0.06281238836474502,0.00993151062538267,ndvi
Pinus sylvestris,Decaimiento,1992,0.4268922818302706,0.1482905849984433,0.019144232203277545,ndvi
Pinus sylvestris,Decaimiento,1993,0.5205887974057763,0.06085866111322491,0.005802645660303547,ndvi
Pinus sylvestris,Decaimiento,1994,0.5195188598147705,0.12486548330694056,0.016120064578797364,ndvi
Pinus sylvestris,Decaimiento,1995,0.5251992417516467,0.07242162228264964,0.007633909275252516,ndvi
Pinus sylvestris,Decaimiento,1996,0.5531585985431928,0.0655939765857089,0.00452641441421065,ndvi
Pinus sylvestris,Decaimiento,1997,0.5695337670522084,0.06215979693659921,0.004190812654539825,ndvi
Pinus sylvestris,Decaimiento,1998,0.5453214282293286,0.11007840783885176,0.0065784431159487495,ndvi
Pinus sylvestris,Decaimiento,1999,0.5713186938768339,0.11661733135365003,0.009427952449975555,ndvi
Pinus sylvestris,Decaimiento,2000,0.5771362625958499,0.07597287106477638,0.00505364020987918,ndvi
Pinus sylvestris,Decaimiento,2001,0.5836127035633085,0.07149706015132186,0.005483574194157834,ndvi
Pinus sylvestris,Decaimiento,2002,0.5944574410251994,0.059963288968120046,0.005067822879892218,ndvi
Pinus sylvestris,Decaimiento,2003,0.5470934131439332,0.07421334775278923,0.006059494469935275,ndvi
Pinus sylvestris,Decaimiento,2004,0.5550646796222748,0.11885696298473174,0.008622790380562764,ndvi
Pinus sylvestris,Decaimiento,2005,0.5541388527997793,0.07899202624617427,0.006700016219499473,ndvi
Pinus sylvestris,Decaimiento,2006,0.5729269135625464,0.09210753185480434,0.007422236432830057,ndvi
Pinus sylvestris,Decaimiento,2007,0.5550873024416085,0.0742074001489751,0.00512079710911444,ndvi
Pinus sylvestris,Decaimiento,2008,0.595018930389223,0.0688474109054372,0.006364945389807498,ndvi
Pinus sylvestris,Decaimiento,2009,0.5552126987375894,0.07041690200657519,0.004032060079650784,ndvi
Pinus sylvestris,Decaimiento,2010,0.5997480096306962,0.0609005315894255,0.004539257616660957,ndvi
Pinus sylvestris,Decaimiento,2011,0.5799045207204657,0.08310271221551035,0.004506877351720673,ndvi
Pinus sylvestris,Decaimiento,2012,0.5546861570187943,0.05846411649751479,0.0063043478148159145,ndvi
Pinus sylvestris,Decaimiento,2013,0.6293697176719072,0.06898377719678586,0.004057869246869757,ndvi
Pinus sylvestris,Decaimiento,2014,0.5802718068797741,0.06023403487607749,0.003383080446023508,ndvi
Pinus sylvestris,Decaimiento,2015,0.5886554385736449,0.07279084160851156,0.0036214797253576853,ndvi
Pinus sylvestris,Decaimiento,2016,0.6068424711013297,0.06921964201583704,0.0037105622931081885,ndvi
Pinus sylvestris,Decaimiento,2017,0.575677401864176,0.06968717368512099,0.003041397603615254,ndvi
Pinus sylvestris,Decaimiento,2018,0.5605497345441062,0.11468075611886042,0.0060695492483720135,ndvi
Pinus sylvestris,Decaimiento,2019,0.5987953683706572,0.06889378974259802,0.0034796618506165193,ndvi
Pinus sylvestris,Decaimiento,2020,0.6317303377227539,0.05664868980028687,0.003985787905566977,ndvi
Pinus sylvestris,Decaimiento,2021,0.6192408945399017,0.09381240190284164,0.0055569670987033176,ndvi
Pinus sylvestris,Decaimiento,2022,0.587216711226782,0.08317168903738476,0.004656720581558085,ndvi
Pinus sylvestris,Decaimiento,2023,0.625580869424064,0.07425357163271579,0.003908082717511357,ndvi
Pinus sylvestris,Sanos,1985,0.54736590847868,0.0435873217868898,0.01089683044672245,ndvi
Pinus sylvestris,Sanos,1986,0.4939555640235659,0.0936194593001435,0.033099477261074726,ndvi
Pinus sylvestris,Sanos,1987,0.6123108757813074,0.1458167299968017,0.013311185380148083,ndvi
Pinus sylvestris,Sanos,1988,0.620634151588839,0.09284185598751746,0.010941517657786412,ndvi
Pinus sylvestris,Sanos,1989,0.6163685066770924,0.10041860665727001,0.012552325832158751,ndvi
Pinus sylvestris,Sanos,1990,0.5762116124897301,0.0997692656555815,0.010758396596111917,ndvi
Pinus sylvestris,Sanos,1991,0.5485893469047775,0.1403571965499155,0.02481188136719458,ndvi
Pinus sylvestris,Sanos,1992,0.4304506916129741,0.1585264897358726,0.022881327880673125,ndvi
Pinus sylvestris,Sanos,1993,0.6020150507630725,0.09544996461739856,0.010671630466722645,ndvi
Pinus sylvestris,Sanos,1994,0.5979590012054226,0.11967032469861978,0.017272923544689515,ndvi
Pinus sylvestris,Sanos,1995,0.5818538167013375,0.050885150550389203,0.005996872502646432,ndvi
Pinus sylvestris,Sanos,1996,0.649277563888851,0.0658857570875597,0.005309225606335356,ndvi
Pinus sylvestris,Sanos,1997,0.6645651729483989,0.08676062162084519,0.006577305751045225,ndvi
Pinus sylvestris,Sanos,1998,0.6471501176280625,0.08434200189477478,0.005660664528055081,ndvi
Pinus sylvestris,Sanos,1999,0.6996413572811808,0.08196814708369154,0.008116055943726785,ndvi
Pinus sylvestris,Sanos,2000,0.6917719995782128,0.06260809271000274,0.005045103883955022,ndvi
Pinus sylvestris,Sanos,2001,0.7071603791084595,0.06851907392100211,0.005875462116363418,ndvi
Pinus sylvestris,Sanos,2002,0.692855438327665,0.07243023813056994,0.0068440141962384255,ndvi
Pinus sylvestris,Sanos,2003,0.6718149486589794,0.06901109660695666,0.006299822388299732,ndvi
Pinus sylvestris,Sanos,2004,0.6647032351590595,0.11559582252932532,0.010217323748415327,ndvi
Pinus sylvestris,Sanos,2005,0.6754461061254413,0.07052011227000851,0.006047049739198668,ndvi
Pinus sylvestris,Sanos,2006,0.6746486670868602,0.09738504969859703,0.008115420808216419,ndvi
Pinus sylvestris,Sanos,2007,0.7007715447537196,0.06671357164405897,0.004839911178777751,ndvi
Pinus sylvestris,Sanos,2008,0.7591369347439959,0.08032100143852933,0.008980160961870497,ndvi
Pinus sylvestris,Sanos,2009,0.6659876743707975,0.08339289307591381,0.005094031705174582,ndvi
Pinus sylvestris,Sanos,2010,0.7205970015707085,0.06169471174450808,0.004159456617285671,ndvi
Pinus sylvestris,Sanos,2011,0.6770077279442601,0.08330575682976386,0.004908838797183631,ndvi
Pinus sylvestris,Sanos,2012,0.6274753501539574,0.1635858997261728,0.02111884884379412,ndvi
Pinus sylvestris,Sanos,2013,0.7623020906812898,0.07212234137886013,0.0049533827425500485,ndvi
Pinus sylvestris,Sanos,2014,0.7261865637256447,0.07100693689591722,0.004099587413118858,ndvi
Pinus sylvestris,Sanos,2015,0.7492784757680986,0.08005789448648595,0.005125181512023329,ndvi
Pinus sylvestris,Sanos,2016,0.738567400551671,0.137659207565638,0.009197742693668154,ndvi
Pinus sylvestris,Sanos,2017,0.7339504419036885,0.05881916513024638,0.002933633317973865,ndvi
Pinus sylvestris,Sanos,2018,0.7130237860303211,0.10454290450032767,0.006893354985959661,ndvi
Pinus sylvestris,Sanos,2019,0.7161592712807454,0.08212192854756291,0.004855971433270366,ndvi
Pinus sylvestris,Sanos,2020,0.7647225361704026,0.07725066157484314,0.005822987710238184,ndvi
Pinus sylvestris,Sanos,2021,0.7628754958104035,0.053923704085235204,0.003832190779840034,ndvi
Pinus sylvestris,Sanos,2022,0.7457466228707497,0.06730821483431591,0.0041583153995973345,ndvi
Pinus sylvestris,Sanos,2023,0.7571710730265444,0.09058543880435949,0.005533386362750344,ndvi
Pinus pinaster,Decaimiento,1985,0.2107677488655456,0.030134518119476407,0.003348279791052934,evi
Pinus pinaster,Decaimiento,1986,0.2275299369417286,0.026820165519062106,0.0029800183910069005,evi
Pinus pinaster,Decaimiento,1987,0.20584136659267593,0.029314632982601816,0.0017010075316043038,evi
Pinus pinaster,Decaimiento,1988,0.22704574731948346,0.028673964140255994,0.0014126648194213633,evi
Pinus pinaster,Decaimiento,1989,0.23310360934800733,0.026875147502707804,0.0016355693915012998,evi
Pinus pinaster,Decaimiento,1990,0.22126955554136082,0.03396770991337967,0.0015408066114566293,evi
Pinus pinaster,Decaimiento,1991,0.22039853231417408,0.033559627560922484,0.0020423738929543694,evi
Pinus pinaster,Decaimiento,1992,0.21760898543827475,0.03005246172048773,0.0020400940335486123,evi
Pinus pinaster,Decaimiento,1993,0.20558562155720816,0.02893994786342042,0.001969114040225785,evi
Pinus pinaster,Decaimiento,1994,0.22577172920943978,0.04325742972796381,0.002632563337966704,evi
Pinus pinaster,Decaimiento,1995,0.2152595348377643,0.0282255823064482,0.0015680879059137888,evi
Pinus pinaster,Decaimiento,1996,0.22491732545310247,0.02760732707226963,0.0013191291129416444,evi
